step,t,y_FE,y_true,abs_error
0,0.0,1.0,1.0,0.0
1,0.41,-1.0499999999999998,0.12873490358780423,1.178734903587804
2,0.82,1.1024999999999996,0.016572675401761255,1.0859273245982384
3,1.23,-1.1576249999999995,0.002133481770037708,1.1597584817700373
4,1.64,1.2155062499999993,0.00027465356997214254,1.215231596430027
5,2.05,-1.276281562499999,3.535750085040998e-05,1.2763169200008495
6,2.46,1.340095640624999,4.551744463083231e-06,1.340091088880536
7,2.87,-1.407100422656249,5.859683846113411e-07,1.4071010086246336
8,3.2800000000000002,1.4774554437890615,7.543458349844232e-08,1.477455368354478
9,3.6900000000000004,-1.5513282159785144,9.711063833858133e-09,1.5513282256895782
10,4.1000000000000005,1.62889462677744,1.2501528663867382e-09,1.6288946255272871
11,4.510000000000001,-1.7103393581163115,1.6093830872431372e-10,1.71033935827725
12,4.920000000000001,1.7958563260221267,2.071837765720878e-11,1.7958563260014084
13,5.330000000000001,-1.885649142323233,2.6671783501964875e-12,1.8856491423259003
14,5.740000000000001,1.9799315994393947,3.4335894776402333e-13,1.9799315994390514
15,6.150000000000001,-2.0789281794113643,4.420228103641142e-14,2.0789281794114087
16,6.560000000000001,2.1828745883819316,5.6903763875834665e-15,2.182874588381926
17,6.9700000000000015,-2.292018317801028,7.325500556338721e-16,2.2920183178010287
18,7.380000000000002,2.406619233691079,9.43047607852674e-17,2.406619233691079
19,7.790000000000002,-2.5269501953756324,1.2140314287562288e-17,2.5269501953756324
20,8.200000000000001,2.653297705144414,1.5628821893349776e-18,2.653297705144414
21,8.610000000000001,-2.7859625904016347,2.011974879631353e-19,2.7859625904016347
22,9.020000000000001,2.9252607199217158,2.5901139215042512e-20,2.9252607199217158
23,9.430000000000001,-3.0715237559178012,3.3343806596628024e-21,3.0715237559178012
24,9.840000000000002,3.2250999437136914,4.29251172746728e-22,3.2250999437136914
25,10.250000000000002,-3.386354940899375,5.525960833850209e-23,3.386354940899375
