step,t,y_BE,y_true,abs_error
75,7.499999999999989,6.210914787075328e-14,5.175555005802163e-17,6.205739232069526e-14
76,7.599999999999989,4.1406098580502185e-14,3.1391327920482083e-17,4.13747072525817e-14
77,7.699999999999989,2.760406572033479e-14,1.9039802832865605e-17,2.7585025917501925e-14
78,7.799999999999988,1.840271048022319e-14,1.1548224173016442e-17,1.8391162256050173e-14
79,7.899999999999988,1.2268473653482126e-14,7.004352026169043e-18,1.2261469301455957e-14
80,7.999999999999988,8.17898243565475e-15,4.248354255291861e-18,8.17473408139946e-15
81,8.099999999999987,5.452654957103167e-15,2.576757109155146e-18,5.450078199994012e-15
82,8.199999999999987,3.635103304735444e-15,1.5628821893350887e-18,3.633540422546109e-15
83,8.299999999999986,2.4234022031569625e-15,9.479359653505429e-19,2.422454267191612e-15
84,8.399999999999986,1.6156014687713083e-15,5.749522264293968e-19,1.615026516544879e-15
85,8.499999999999986,1.0770676458475387e-15,3.4872615319946945e-19,1.0767189196943393e-15
86,8.599999999999985,7.180450972316924e-16,2.1151310375912307e-19,7.178335841279333e-16
87,8.699999999999985,4.786967314877949e-16,1.2828918236088761e-19,4.78568442305434e-16
88,8.799999999999985,3.1913115432519656e-16,7.781132241134404e-20,3.190533430027852e-16
89,8.899999999999984,2.1275410288346436e-16,4.719495271526492e-20,2.127069079307491e-16
90,8.999999999999984,1.4183606858897623e-16,2.8625185805496175e-20,1.4180744340317074e-16
91,9.099999999999984,9.455737905931748e-17,1.7362052831004428e-20,9.454001700648647e-17
92,9.199999999999983,6.303825270621165e-17,1.053061735755471e-20,6.302772208885409e-17
93,9.299999999999983,4.20255018041411e-17,6.387142293058967e-21,4.201911466184804e-17
94,9.399999999999983,2.801700120276073e-17,3.873997628687518e-21,2.801312720513204e-17
95,9.499999999999982,1.8678000801840485e-17,2.3496983374530176e-21,1.8675651103503032e-17
96,9.599999999999982,1.2452000534560323e-17,1.4251640827410668e-21,1.2450575370477582e-17
97,9.699999999999982,8.301333689706881e-18,8.644057113036893e-22,8.300469283995577e-18
98,9.799999999999981,5.534222459804587e-18,5.242885663363948e-22,5.53369817123825e-18
99,9.89999999999998,3.689481639869725e-18,3.179970900198066e-22,3.689163642779705e-18
100,9.99999999999998,2.4596544265798165e-18,1.9287498479641097e-22,2.45946155159502e-18
101,10.09999999999998,1.6397696177198777e-18,1.1698459177063128e-22,1.639652633128107e-18
