step,t,y_BE,y_true,abs_error
0,0.0,1.0,1.0,0.0
1,0.1,0.6666666666666666,0.6065306597126334,0.060136006954033205
2,0.2,0.4444444444444444,0.36787944117144233,0.07656500327300209
3,0.30000000000000004,0.2962962962962963,0.2231301601484298,0.07316613614786649
4,0.4,0.19753086419753085,0.1353352832366127,0.06219558096091815
5,0.5,0.1316872427983539,0.0820849986238988,0.04960224417445509
6,0.6,0.08779149519890259,0.049787068367863944,0.03800442683103864
7,0.7,0.058527663465935055,0.0301973834223185,0.028330280043616554
8,0.7999999999999999,0.03901844231062337,0.01831563888873419,0.02070280342188918
9,0.8999999999999999,0.026012294873748912,0.011108996538242306,0.014903298335506606
10,0.9999999999999999,0.017341529915832606,0.006737946999085473,0.010603582916747133
11,1.0999999999999999,0.011561019943888404,0.004086771438464071,0.007474248505424333
12,1.2,0.007707346629258935,0.0024787521766663585,0.005228594452592577
13,1.3,0.005138231086172623,0.0015034391929775724,0.0036347918931950505
14,1.4000000000000001,0.0034254873907817486,0.0009118819655545154,0.002513605425227233
15,1.5000000000000002,0.0022836582605211654,0.0005530843701478331,0.0017305738903733324
16,1.6000000000000003,0.0015224388403474436,0.00033546262790251126,0.0011869762124449325
17,1.7000000000000004,0.0010149592268982957,0.00020346836901064382,0.0008114908578876519
18,1.8000000000000005,0.0006766394845988638,0.00012340980408667932,0.0005532296805121845
19,1.9000000000000006,0.00045109298973257584,7.485182988770033e-05,0.00037624115984487554
20,2.0000000000000004,0.0003007286598217172,4.539992976248477e-05,0.00025532873005923245
21,2.1000000000000005,0.00020048577321447815,2.753644934974706e-05,0.00017294932386473108
22,2.2000000000000006,0.00013365718214298543,1.6701700790245598e-05,0.00011695548135273983
23,2.3000000000000007,8.910478809532361e-05,1.0130093598630675e-05,7.897469449669294e-05
24,2.400000000000001,5.940319206354907e-05,6.144212353328188e-06,5.3258979710220886e-05
25,2.500000000000001,3.960212804236605e-05,3.726653172078658e-06,3.587547487028739e-05
26,2.600000000000001,2.64014186949107e-05,2.2603294069810424e-06,2.4141089287929655e-05
27,2.700000000000001,1.760094579660713e-05,1.370959086384077e-06,1.6229986710223052e-05
28,2.800000000000001,1.1733963864404753e-05,8.315287191035634e-07,1.0902435145301189e-05
29,2.9000000000000012,7.822642576269835e-06,5.043476625678845e-07,7.31829491370195e-06
30,3.0000000000000013,5.215095050846556e-06,3.059023205018236e-07,4.909192730344732e-06
31,3.1000000000000014,3.476730033897704e-06,1.855391362615965e-07,3.291190897636107e-06
32,3.2000000000000015,2.317820022598469e-06,1.1253517471925831e-07,2.205284847879211e-06
33,3.3000000000000016,1.5452133483989794e-06,6.825603376334821e-08,1.4769573146356313e-06
34,3.4000000000000017,1.0301422322659861e-06,4.139937718785137e-08,9.887428550781346e-07
35,3.5000000000000018,6.86761488177324e-07,2.510999155743964e-08,6.616514966198844e-07
36,3.600000000000002,4.5784099211821597e-07,1.5229979744712467e-08,4.426110123735035e-07
37,3.700000000000002,3.0522732807881063e-07,9.237449661970497e-09,2.9598987841684013e-07
38,3.800000000000002,2.0348488538587375e-07,5.6027964375372074e-09,1.9788208894833655e-07
39,3.900000000000002,1.3565659025724915e-07,3.398267819495035e-09,1.3225832243775411e-07
40,4.000000000000002,9.043772683816609e-08,2.061153622438543e-09,8.837657321572755e-08
