step,t,y_BE,y_true,abs_error
0,0.0,1.0,1.0,0.0
1,0.41,0.3278688524590164,0.12873490358780423,0.1991339488712122
2,0.82,0.10749798441279228,0.016572675401761255,0.09092530901103102
3,1.23,0.035245240791079435,0.002133481770037708,0.03311175902104173
4,1.64,0.01155581665281293,0.00027465356997214254,0.011281163082840788
5,2.05,0.0037887923451845676,3.535750085040998e-05,0.0037534348443341576
6,2.46,0.0012422269984211699,4.551744463083231e-06,0.0012376752539580867
7,2.87,0.00040728754046595735,5.859683846113411e-07,0.00040670157208134603
8,3.2800000000000002,0.00013353689851342866,7.543458349844232e-08,0.00013346146392993023
9,3.6900000000000004,4.378258967653399e-05,9.711063833858133e-09,4.377287861270013e-05
10,4.1000000000000005,1.4354947434929178e-05,1.2501528663867382e-09,1.4353697282062791e-05
11,4.510000000000001,4.7065401425997306e-06,1.6093830872431372e-10,4.7063792042910065e-06
12,4.920000000000001,1.5431279156064693e-06,2.071837765720878e-11,1.543107197228812e-06
13,5.330000000000001,5.059435788873671e-07,2.6671783501964875e-12,5.059409117090168e-07
14,5.740000000000001,1.658831406188089e-07,3.4335894776402333e-13,1.6588279725986114e-07
15,6.150000000000001,5.438791495698653e-08,4.420228103641142e-14,5.438787075470549e-08
16,6.560000000000001,1.783210326458575e-08,5.6903763875834665e-15,1.783209757420936e-08
17,6.9700000000000015,5.8465912342904105e-09,7.325500556338721e-16,5.846590501740355e-09
18,7.380000000000002,1.9169151587837413e-09,9.43047607852674e-17,1.9169150644789807e-09
19,7.790000000000002,6.284967733717185e-10,1.2140314287562288e-17,6.284967612314042e-10
20,8.200000000000001,2.0606451585957984e-10,1.5628821893349776e-18,2.0606451429669766e-10
21,8.610000000000001,6.756213634740323e-11,2.011974879631353e-19,6.756213614620574e-11
22,9.020000000000001,2.21515201139027e-11,2.5901139215042512e-20,2.2151520088001562e-11
23,9.430000000000001,7.262793479968099e-12,3.3343806596628024e-21,7.2627934766337184e-12
24,9.840000000000002,2.381243763923967e-12,4.29251172746728e-22,2.381243763494716e-12
25,10.250000000000002,7.807356603029401e-13,5.525960833850209e-23,7.807356602476805e-13
